Day,Firstdate,Nusers,Mean_dr,Sum_dr,Date
653,2018-01-09,2523, 27.528364120176718, 69454.06267520586,2019-10-24
654,2018-01-09,2521, 27.792014003399583, 70063.66730257035,2019-10-25
655,2018-01-09,2503, 27.916599299017733, 69875.24804544139,2019-10-26
656,2018-01-09,2506, 27.643723278367816, 69275.17053558974,2019-10-27
657,2018-01-09,2502, 27.83834002672357, 69651.52674686238,2019-10-28
658,2018-01-09,2503, 27.65492046103237, 69220.26591396402,2019-10-29
659,2018-01-09,2508, 27.929848832660916, 70048.06087231358,2019-10-30
660,2018-01-09,2527, 28.25684103047075, 71405.03728399958,2019-10-31
661,2018-01-09,2535, 28.415051528756916, 72032.15562539878,2019-11-01
662,2018-01-09,2536, 28.58335480153741, 72487.38777669887,2019-11-02
663,2018-01-09,2527, 28.990525919281396, 73259.05899802409,2019-11-03
664,2018-01-09,2532, 28.97566968974246, 73366.3956544279,2019-11-04
665,2018-01-09,2542, 28.82761167289251, 73279.78887249276,2019-11-05
666,2018-01-09,2546, 28.812660143311913, 73357.03272487213,2019-11-06
667,2018-01-09,2532, 29.0087167305483, 73450.0707617483,2019-11-07
668,2018-01-09,2534, 29.1991735068437, 73990.70566634194,2019-11-08
669,2018-01-09,2538, 28.97856993860502, 73547.61050417954,2019-11-09
670,2018-01-09,2551, 28.71407083699739, 73249.59470518034,2019-11-10
671,2018-01-09,2555, 28.77762953115675, 73526.8434521055,2019-11-11
672,2018-01-09,2558, 29.12289698396021, 74496.37048497022,2019-11-12
673,2018-01-09,2546, 29.260564075481774, 74497.3961361766,2019-11-13
674,2018-01-09,2568, 29.231257404379498, 75065.86901444655,2019-11-14
675,2018-01-09,2574, 29.4056791292743, 75690.21807875205,2019-11-15
676,2018-01-09,2582, 29.44476542546003, 76026.3843285378,2019-11-16
677,2018-01-09,2588, 29.826873119256636, 77191.94763263618,2019-11-17
678,2018-01-09,2595, 29.86179625080885, 77491.36127084897,2019-11-18
679,2018-01-09,2604, 30.25781690705283, 78791.35522596557,2019-11-19
680,2018-01-09,2613, 30.57435430947204, 79890.78781065044,2019-11-20
681,2018-01-09,2623, 30.92417913038304, 81114.12185899471,2019-11-21
682,2018-01-09,2615, 31.369996021007257, 82032.53959493397,2019-11-22
683,2018-01-09,2619, 31.386028446942944, 82200.00850254357,2019-11-23
684,2018-01-09,2624, 31.105803739075238, 81621.62901133343,2019-11-24
685,2018-01-09,2624, 30.843098807195908, 80932.29127008206,2019-11-25
686,2018-01-09,2611, 30.917133541844123, 80724.63567775501,2019-11-26
687,2018-01-09,2625, 30.767855963157114, 80765.62190328742,2019-11-27
688,2018-01-09,2603, 30.588853129477634, 79622.78469603028,2019-11-28
689,2018-01-09,2591, 30.020515206110215, 77783.15489903156,2019-11-29
690,2018-01-09,2587, 29.78513429040113, 77054.14240926772,2019-11-30
691,2018-01-09,2580, 29.750023455095146, 76755.06051414547,2019-12-01
692,2018-01-09,2579, 29.675641029328812, 76533.478214639,2019-12-02
693,2018-01-09,2577, 29.750698997580866, 76667.5513167659,2019-12-03
694,2018-01-09,2584, 29.686367890695877, 76709.57462955815,2019-12-04
695,2018-01-09,2590, 29.7374850862525, 77020.08637339398,2019-12-05
696,2018-01-09,2581, 29.79505763510493, 76901.04375620582,2019-12-06
697,2018-01-09,2568, 29.650715166274203, 76143.03654699215,2019-12-07
698,2018-01-09,2566, 29.754387766825218, 76349.75900967351,2019-12-08
699,2018-01-09,2561, 29.856259549916793, 76461.88070733691,2019-12-09
700,2018-01-09,2561, 29.914921875339108, 76612.11492274345,2019-12-10
701,2018-01-09,2560, 29.692225218408783, 76012.09655912648,2019-12-11
702,2018-01-09,2557, 30.013070010130107, 76743.42001590268,2019-12-12
703,2018-01-09,2565, 29.887529188125097, 76661.51236754087,2019-12-13
704,2018-01-09,2560, 29.99672219700318, 76791.60882432814,2019-12-14
705,2018-01-09,2563, 30.09521672023126, 77134.04045395272,2019-12-15
706,2018-01-09,2560, 29.9876771014443, 76768.45337969741,2019-12-16
707,2018-01-09,2559, 30.013328561774813, 76804.10778958174,2019-12-17
708,2018-01-09,2578, 30.12960207073372, 77674.11413835154,2019-12-18
709,2018-01-09,2593, 30.53300260323276, 79172.07575018254,2019-12-19
710,2018-01-09,2597, 30.69908251839373, 79725.51730026852,2019-12-20
711,2018-01-09,2584, 30.784034143416818, 79545.94422658905,2019-12-21
712,2018-01-09,2580, 30.658101449528566, 79097.9017397837,2019-12-22
713,2018-01-09,2567, 30.87431936914659, 79254.3778205993,2019-12-23
714,2018-01-09,2572, 30.959705512760266, 79628.3625788194,2019-12-24
715,2018-01-09,2556, 30.782678920639395, 78680.5273211543,2019-12-25
716,2018-01-09,2560, 30.405449107087, 77837.94971414273,2019-12-26
717,2018-01-09,2551, 30.158778660558784, 76935.04436308546,2019-12-27
718,2018-01-09,2554, 30.046565035613607, 76738.92710095715,2019-12-28
719,2018-01-09,2557, 29.937019983489396, 76548.96009778239,2019-12-29
720,2018-01-09,2568, 29.614231220112146, 76049.34577324799,2019-12-30
721,2018-01-09,2569, 29.71645956578584, 76341.58462450383,2019-12-31
722,2018-01-09,2564, 29.516466116259245, 75680.2191220887,2020-01-01
723,2018-01-09,2558, 29.61117564121979, 75745.38729024022,2020-01-02
724,2018-01-09,2541, 29.992175497768688, 76210.11793983023,2020-01-03
725,2018-01-09,2524, 30.120322539860855, 76023.6940906088,2020-01-04
726,2018-01-09,2514, 30.03514955770496, 75508.36598807026,2020-01-05
727,2018-01-09,2522, 29.877099065912613, 75350.04384423161,2020-01-06
728,2018-01-09,2519, 29.86947105033542, 75241.19757579493,2020-01-07
729,2018-01-09,2533, 29.872400748986124, 75666.79109718185,2020-01-08
730,2018-01-09,2505, 29.096016253656426, 72885.52071540935,2020-01-09
731,2018-01-09,2494, 29.386788713714328, 73290.65105200354,2020-01-10
732,2018-01-09,2497, 29.105069513028432, 72675.358574032,2020-01-11
733,2018-01-09,2497, 29.19274644862085, 72894.28788220626,2020-01-12
734,2018-01-09,2498, 29.007662418877167, 72461.14072235517,2020-01-13
735,2018-01-09,2505, 29.024081634783016, 72705.32449513146,2020-01-14
736,2018-01-09,2511, 29.005076291994488, 72831.74656919816,2020-01-15
737,2018-01-09,2519, 29.005272083506316, 73064.28037835241,2020-01-16
738,2018-01-09,2512, 29.0146177557401, 72884.71980241913,2020-01-17
739,2018-01-09,2522, 28.749637299600764, 72506.58526959312,2020-01-18
740,2018-01-09,2524, 28.919317425358233, 72992.35718160418,2020-01-19
741,2018-01-09,2531, 28.764334593070526, 72802.5308550615,2020-01-20
742,2018-01-09,2540, 28.673491540070682, 72830.66851177953,2020-01-21
743,2018-01-09,2533, 28.999603381905814, 73455.99536636742,2020-01-22
744,2018-01-09,2530, 29.259301962398993, 74026.03396486945,2020-01-23
745,2018-01-09,2532, 29.87191620847707, 75635.69183986394,2020-01-24
746,2018-01-09,2531, 29.718329957123473, 75217.09312147951,2020-01-25
747,2018-01-09,2538, 29.754022227635158, 75515.70841373803,2020-01-26
748,2018-01-09,2544, 29.76714843861285, 75727.62562783109,2020-01-27
749,2018-01-09,2549, 29.970350780577366, 76394.4241396917,2020-01-28
750,2018-01-09,2562, 30.316670146834884, 77671.30891619097,2020-01-29
751,2018-01-09,2567, 30.472184111537345, 78222.09661431637,2020-01-30
752,2018-01-09,2578, 30.860032727751996, 79557.16437214465,2020-01-31
753,2018-01-09,2574, 30.842062220486493, 79387.46815553223,2020-02-01
754,2018-01-09,2561, 31.113644311928546, 79682.043082849,2020-02-02
755,2018-01-09,2563, 31.126460326776563, 79777.11781752833,2020-02-03
756,2018-01-09,2560, 31.569185649249242, 80817.11526207806,2020-02-04
757,2018-01-09,2573, 32.51575004752673, 83663.02487228627,2020-02-05
758,2018-01-09,2582, 32.830937362464354, 84769.48026988296,2020-02-06
759,2018-01-09,2571, 33.11655355053769, 85142.6591784324,2020-02-07
760,2018-01-09,2566, 33.286459625092334, 85413.05539798693,2020-02-08
761,2018-01-09,2558, 33.35368430756636, 85318.72445875475,2020-02-09
