Firstdate,Lastdate,Nusers,Mean_dr,Sum_dr
2019-02-11,2019-03-12,2104, 16.207666177499487, 34100.92963745892
2019-02-12,2019-03-13,2110, 15.89902011586443, 33546.93244447395
2019-02-13,2019-03-14,2139, 16.221453366163924, 34697.68875022463
2019-02-14,2019-03-15,2141, 16.62587753279459, 35596.003797713216
2019-02-15,2019-03-16,2137, 16.491440990593258, 35242.20939689779
2019-02-16,2019-03-17,2126, 16.241962437699744, 34530.412142549656
2019-02-17,2019-03-18,2133, 16.490964804400562, 35175.2279277864
2019-02-18,2019-03-19,2115, 15.776270236238203, 33366.8115496438
2019-02-19,2019-03-20,2135, 15.909724250911612, 33967.26127569629
2019-02-20,2019-03-21,2148, 16.323972725763966, 35063.893414941
2019-02-21,2019-03-22,2154, 16.37309599044271, 35267.6487634136
2019-02-22,2019-03-23,2132, 16.411467811443497, 34989.24937399754
2019-02-23,2019-03-24,2119, 16.462125227284066, 34883.243356614934
2019-02-24,2019-03-25,2131, 16.32933843105377, 34797.82019657559
2019-02-25,2019-03-26,2137, 16.49111891608334, 35241.5211236701
2019-02-26,2019-03-27,2126, 16.303639119711676, 34661.53676850702
2019-02-27,2019-03-28,2120, 16.225615383741395, 34398.304613531756
2019-02-28,2019-03-29,2121, 15.726751207299603, 33356.43931068246
2019-03-01,2019-03-30,2109, 15.781128881370723, 33282.400810810854
2019-03-02,2019-03-31,2105, 15.958080799293416, 33591.76008251264
2019-03-03,2019-04-01,2108, 15.511651702155854, 32698.56178814454
2019-03-04,2019-04-02,2110, 15.414353600153902, 32524.286096324733
2019-03-05,2019-04-03,2098, 15.00376009876456, 31477.888687208047
2019-03-06,2019-04-04,2098, 15.827035411531591, 33205.12029339328
2019-03-07,2019-04-05,2099, 15.862675050037234, 33295.75493002815
2019-03-08,2019-04-06,2076, 15.418119608727237, 32008.016307717742
2019-03-09,2019-04-07,2066, 15.52593938759483, 32076.59077477092
2019-03-10,2019-04-08,2038, 15.519065842396184, 31627.856186803423
2019-03-11,2019-04-09,2027, 15.785150183779402, 31996.499422520847
2019-03-12,2019-04-10,2029, 15.36438140212537, 31174.329864912375
2019-03-13,2019-04-11,2026, 15.741133319144275, 31891.536104586303
2019-03-14,2019-04-12,2013, 16.174675400562208, 32559.62158133172
2019-03-15,2019-04-13,2005, 16.24311679459108, 32567.449173155117
2019-03-16,2019-04-14,1989, 16.388727915188614, 32597.17982331015
2019-03-17,2019-04-15,1980, 16.397505018717, 32467.059937059654
2019-03-18,2019-04-16,1970, 16.643218927144108, 32787.141286473896
2019-03-19,2019-04-17,1965, 17.569304748110817, 34523.68383003776
2019-03-20,2019-04-18,1957, 17.743093893918722, 34723.23475039894
2019-03-21,2019-04-19,1959, 17.879081819821067, 35025.12128502947
2019-03-22,2019-04-20,1955, 17.92596468177512, 35045.26095287036
2019-03-23,2019-04-21,1947, 17.553001807737644, 34175.694519665194
2019-03-24,2019-04-22,1927, 17.466010619247136, 33657.00246328923
2019-03-25,2019-04-23,1946, 18.268028760837606, 35549.58396858998
2019-03-26,2019-04-24,1939, 18.19032128669659, 35271.03297490469
2019-03-27,2019-04-25,1934, 18.354884222210615, 35498.34608575533
2019-03-28,2019-04-26,1923, 18.037657876133586, 34686.41609580489
2019-03-29,2019-04-27,1919, 17.854136405355153, 34262.08776187654
2019-03-30,2019-04-28,1884, 17.71840356445848, 33381.47231543978
2019-03-31,2019-04-29,1869, 17.34395416209126, 32415.850328948567
2019-04-01,2019-04-30,1873, 17.406803554189338, 32602.943056996628
2019-04-02,2019-05-01,1856, 17.42056783903824, 32332.573909254977
2019-04-03,2019-05-02,1851, 16.727815269408985, 30963.186063676032
2019-04-04,2019-05-03,1852, 16.859146381683598, 31223.139098878026
2019-04-05,2019-05-04,1834, 16.02530401819896, 29390.407569376894
2019-04-06,2019-05-05,1836, 16.24194375047548, 29820.208725872977
2019-04-07,2019-05-06,1832, 15.811059394795803, 28965.860811265913
2019-04-08,2019-05-07,1822, 16.065766644382858, 29271.826826065568
2019-04-09,2019-05-08,1815, 15.814408158036736, 28703.150806836675
2019-04-10,2019-05-09,1824, 16.012877630151394, 29207.48879739614
2019-04-11,2019-05-10,1821, 15.927943899348502, 29004.785840713623
2019-04-12,2019-05-11,1806, 16.017629233012865, 28927.838394821236
2019-04-13,2019-05-12,1770, 16.03552399048077, 28382.87746315096
2019-04-14,2019-05-13,1752, 16.199844077315646, 28382.12682345701
2019-04-15,2019-05-14,1754, 16.509133674607938, 28957.020465262325
2019-04-16,2019-05-15,1751, 16.036452942834888, 28079.829102903892
2019-04-17,2019-05-16,1765, 16.358927398720866, 28873.50685874233
2019-04-18,2019-05-17,1744, 15.851044986834582, 27644.222457039512
2019-04-19,2019-05-18,1745, 16.597087176764468, 28961.917123453997
2019-04-20,2019-05-19,1766, 16.790319898513886, 29651.704940775522
2019-04-21,2019-05-20,1747, 16.045930830081726, 28032.24116015278
2019-04-22,2019-05-21,1744, 16.04977123901944, 27990.801040849903
2019-04-23,2019-05-22,1747, 16.081478880558933, 28094.343604336456
2019-04-24,2019-05-23,1764, 17.234500422866287, 30401.658745936133
2019-04-25,2019-05-24,1769, 17.00728701992759, 30085.890738251906
2019-04-26,2019-05-25,1756, 17.284362619839342, 30351.340760437884
2019-04-27,2019-05-26,1747, 17.539826278028738, 30642.076507716207
