Firstdate,Lastdate,Nusers,Mean_dr,Sum_dr
2019-05-19,2019-06-17,147, 232.6532416595064, 34200.02652394744
2019-05-20,2019-06-18,131, 250.13878584386023, 32768.18094554569
2019-05-21,2019-06-19,134, 246.07574498513713, 32974.149828008376
2019-05-22,2019-06-20,137, 244.33082843396122, 33473.323495452685
2019-05-23,2019-06-21,133, 248.01159836596776, 32985.54258267371
2019-05-24,2019-06-22,132, 250.91663529022645, 33120.99585830989
2019-05-25,2019-06-23,132, 253.26212740706902, 33430.60081773311
2019-05-26,2019-06-24,120, 263.2281259068319, 31587.375108819826
2019-05-27,2019-06-25,120, 265.9335920702931, 31912.031048435176
2019-05-28,2019-06-26,117, 274.15938490008097, 32076.648033309473
2019-05-29,2019-06-27,132, 258.62569856433805, 34138.59221049262
2019-05-30,2019-06-28,130, 261.9017360375434, 34047.22568488064
2019-05-31,2019-06-29,118, 272.84415883108204, 32195.61074206768
2019-06-01,2019-06-30,121, 270.8018902654113, 32767.028722114766
2019-06-02,2019-07-01,113, 282.811275357286, 31957.674115373313
2019-06-03,2019-07-02,106, 295.9368671442978, 31369.30791729557
2019-06-04,2019-07-03,123, 277.8595263582106, 34176.721742059904
2019-06-05,2019-07-04,130, 272.05788671762286, 35367.52527329097
2019-06-06,2019-07-05,135, 269.0104888755265, 36316.41599819608
2019-06-07,2019-07-06,128, 277.8402473632161, 35563.55166249166
2019-06-08,2019-07-07,122, 289.51578720194397, 35320.92603863716
2019-06-09,2019-07-08,120, 295.61748548247425, 35474.09825789691
2019-06-10,2019-07-09,132, 283.9249373316711, 37478.091727780586
2019-06-11,2019-07-10,136, 280.5859385048026, 38159.68763665315
2019-06-12,2019-07-11,127, 292.09416762016576, 37095.95928776105
2019-06-13,2019-07-12,122, 303.3116362492632, 37004.01962241011
2019-06-14,2019-07-13,124, 294.8517345349435, 36561.615082332995
2019-06-15,2019-07-14,129, 282.55477098678375, 36449.5654572951
2019-06-16,2019-07-15,133, 280.77293726582246, 37342.80065635439
2019-06-17,2019-07-16,127, 289.7199186785021, 36794.42967216977
2019-06-18,2019-07-17,123, 297.00477246343536, 36531.58701300255
2019-06-19,2019-07-18,129, 290.9168375197985, 37528.272040054006
2019-06-20,2019-07-19,138, 283.7346051372136, 39155.375508935474
2019-06-21,2019-07-20,135, 285.01093135033875, 38476.47573229573
