day,clustering,Nnodes,L/N,Firstday,First_Time
153,0.20787914168985855,483,2.1718426501035197,2018-01-09,2018-06-11
154,0.2065926571603975,476,2.186974789915966,2018-01-09,2018-06-12
155,0.20298250104913867,484,2.1735537190082646,2018-01-09,2018-06-13
156,0.21856035130803433,484,2.175619834710744,2018-01-09,2018-06-14
157,0.22518377920074514,505,2.1643564356435645,2018-01-09,2018-06-15
158,0.22627993438300323,503,2.1809145129224654,2018-01-09,2018-06-16
159,0.22512994010947984,513,2.165692007797271,2018-01-09,2018-06-17
160,0.22028702024321836,529,2.183364839319471,2018-01-09,2018-06-18
161,0.2203601645666159,524,2.204198473282443,2018-01-09,2018-06-19
162,0.2267950051314826,531,2.224105461393597,2018-01-09,2018-06-20
163,0.22576241996330557,518,2.2258687258687258,2018-01-09,2018-06-21
164,0.2300396838534629,517,2.237911025145068,2018-01-09,2018-06-22
165,0.2338223736398048,509,2.2632612966601178,2018-01-09,2018-06-23
166,0.23816120590533366,513,2.2787524366471734,2018-01-09,2018-06-24
167,0.24598652902250723,516,2.312015503875969,2018-01-09,2018-06-25
168,0.23455724290503216,505,2.299009900990099,2018-01-09,2018-06-26
169,0.23904569252892138,504,2.2936507936507935,2018-01-09,2018-06-27
170,0.23733279132976765,524,2.301526717557252,2018-01-09,2018-06-28
171,0.243084231852979,511,2.3131115459882583,2018-01-09,2018-06-29
172,0.2423186917769472,506,2.2865612648221343,2018-01-09,2018-06-30
173,0.25273444552829094,510,2.3333333333333335,2018-01-09,2018-07-01
174,0.25997888172522693,505,2.3504950495049504,2018-01-09,2018-07-02
175,0.2568263731340591,523,2.3594646271510515,2018-01-09,2018-07-03
176,0.2589214458323793,528,2.350378787878788,2018-01-09,2018-07-04
177,0.2603770039741375,543,2.3499079189686927,2018-01-09,2018-07-05
178,0.25312657464624067,567,2.3333333333333335,2018-01-09,2018-07-06
179,0.2568620344924244,567,2.329805996472663,2018-01-09,2018-07-07
180,0.25186624138868313,589,2.3293718166383703,2018-01-09,2018-07-08
181,0.25648618354113256,602,2.3322259136212624,2018-01-09,2018-07-09
182,0.2546765920636305,612,2.3186274509803924,2018-01-09,2018-07-10
183,0.2602986089165512,611,2.327332242225859,2018-01-09,2018-07-11
184,0.25881265671611003,614,2.3338762214983713,2018-01-09,2018-07-12
185,0.26207135958438194,620,2.3725806451612903,2018-01-09,2018-07-13
186,0.2503099023427543,613,2.3425774877650896,2018-01-09,2018-07-14
187,0.2526454302481714,594,2.3484848484848486,2018-01-09,2018-07-15
188,0.2551813127572469,606,2.3415841584158414,2018-01-09,2018-07-16
189,0.249600685093274,608,2.330592105263158,2018-01-09,2018-07-17
190,0.24351208493093912,602,2.3106312292358804,2018-01-09,2018-07-18
191,0.23748156367922577,618,2.2572815533980584,2018-01-09,2018-07-19
192,0.24176728652093293,612,2.2679738562091503,2018-01-09,2018-07-20
193,0.2376398994536379,628,2.245222929936306,2018-01-09,2018-07-21
194,0.23302610958978623,641,2.2121684867394698,2018-01-09,2018-07-22
195,0.228985657037263,657,2.165905631659056,2018-01-09,2018-07-23
196,0.2268495537462703,657,2.167427701674277,2018-01-09,2018-07-24
197,0.224077975234183,656,2.1371951219512195,2018-01-09,2018-07-25
198,0.21614676018642853,661,2.1255673222390317,2018-01-09,2018-07-26
199,0.21113911480685504,662,2.1253776435045317,2018-01-09,2018-07-27
200,0.2182752608450793,634,2.132492113564669,2018-01-09,2018-07-28
201,0.21909989345901798,633,2.1390205371248023,2018-01-09,2018-07-29
202,0.21530293672918277,662,2.096676737160121,2018-01-09,2018-07-30
203,0.2083683627294841,682,2.0483870967741935,2018-01-09,2018-07-31
204,0.20355399473653962,689,2.0406386066763424,2018-01-09,2018-08-01
205,0.19913804665088133,669,2.0194319880418536,2018-01-09,2018-08-02
206,0.2020485704181644,655,2.0,2018-01-09,2018-08-03
207,0.18608680635580843,636,1.9779874213836477,2018-01-09,2018-08-04
208,0.1865749545591296,613,1.9510603588907014,2018-01-09,2018-08-05
209,0.1857666531091107,610,1.9163934426229507,2018-01-09,2018-08-06
210,0.19850025922801556,589,1.9168081494057725,2018-01-09,2018-08-07
211,0.18379671091845887,571,1.915936952714536,2018-01-09,2018-08-08
212,0.17366599794011328,568,1.8873239436619718,2018-01-09,2018-08-09
213,0.16838236747061744,565,1.888495575221239,2018-01-09,2018-08-10
214,0.1724357082121052,575,1.862608695652174,2018-01-09,2018-08-11
215,0.17335740824681928,573,1.8656195462478184,2018-01-09,2018-08-12
216,0.18379296591255198,576,1.8767361111111112,2018-01-09,2018-08-13
217,0.17382652257557307,676,1.8417159763313609,2018-01-09,2018-08-14
218,0.12421617990551968,1136,1.8565140845070423,2018-01-09,2018-08-15
219,0.09890640721476876,1498,2.0941255006675568,2018-01-09,2018-08-16
220,0.09767276934579182,1779,2.395727937043283,2018-01-09,2018-08-17
221,0.10713350464695633,1943,2.6037056098816262,2018-01-09,2018-08-18
222,0.11974794719324935,2140,2.789719626168224,2018-01-09,2018-08-19
223,0.1296850971488046,2372,3.0476391231028668,2018-01-09,2018-08-20
224,0.13019412586640616,2550,3.2427450980392156,2018-01-09,2018-08-21
225,0.12992382989848983,2702,3.4026646928201334,2018-01-09,2018-08-22
226,0.13369642312720892,2853,3.5671223273746935,2018-01-09,2018-08-23
227,0.1294095329126794,3167,3.5465740448373855,2018-01-09,2018-08-24
228,0.12923521308612146,3452,3.5515643105446117,2018-01-09,2018-08-25
229,0.12556031817787708,3661,3.6577437858508604,2018-01-09,2018-08-26
230,0.1293291427646498,3851,3.7675928330303816,2018-01-09,2018-08-27
231,0.12888685829812657,4013,3.842511836531273,2018-01-09,2018-08-28
232,0.1316725755787394,4153,3.9561762581266553,2018-01-09,2018-08-29
233,0.13761659256625172,4276,4.114593077642657,2018-01-09,2018-08-30
234,0.14096611805030382,4349,4.217981145090826,2018-01-09,2018-08-31
235,0.14195798329527468,4453,4.283629014147766,2018-01-09,2018-09-01
236,0.14332737871308557,4551,4.37134695671281,2018-01-09,2018-09-02
237,0.14384958761656355,4643,4.470385526599181,2018-01-09,2018-09-03
238,0.14731581724258488,4776,4.574958123953099,2018-01-09,2018-09-04
239,0.15025810354342295,4863,4.649804647337035,2018-01-09,2018-09-05
240,0.15283833246892503,4955,4.74066599394551,2018-01-09,2018-09-06
241,0.1518895304971764,5037,4.852690093309509,2018-01-09,2018-09-07
242,0.15277500690452167,5090,4.933005893909627,2018-01-09,2018-09-08
243,0.1530668108378061,5161,4.992055803138927,2018-01-09,2018-09-09
244,0.1527671618133277,5197,5.059072541851068,2018-01-09,2018-09-10
245,0.1514440365315783,5237,5.138628986060722,2018-01-09,2018-09-11
246,0.1517372509624721,5266,5.175845043676414,2018-01-09,2018-09-12
247,0.15380719592044062,5282,5.21772056039379,2018-01-09,2018-09-13
248,0.15552669769301694,5164,5.292021688613478,2018-01-09,2018-09-14
249,0.1565215969390998,5020,5.330278884462151,2018-01-09,2018-09-15
250,0.15888587071939317,4911,5.331093463653024,2018-01-09,2018-09-16
251,0.16061087989550374,4816,5.365448504983389,2018-01-09,2018-09-17
252,0.15926904298160213,4766,5.342845153168275,2018-01-09,2018-09-18
253,0.1609354024110454,4638,5.309400603708495,2018-01-09,2018-09-19
254,0.16420886473872287,4529,5.276440715389711,2018-01-09,2018-09-20
255,0.16534741036364178,4416,5.284646739130435,2018-01-09,2018-09-21
256,0.16921025793345015,4290,5.272960372960373,2018-01-09,2018-09-22
257,0.17765936972793506,4094,5.365412799218368,2018-01-09,2018-09-23
258,0.18107129246543455,3912,5.456032719836401,2018-01-09,2018-09-24
259,0.1872974169308736,3810,5.449606299212598,2018-01-09,2018-09-25
260,0.1904822916610104,3703,5.429921685120173,2018-01-09,2018-09-26
261,0.19363737364300068,3617,5.437931987835222,2018-01-09,2018-09-27
262,0.19185993018956946,3512,5.402904328018224,2018-01-09,2018-09-28
263,0.19056656372467543,3412,5.319460726846424,2018-01-09,2018-09-29
264,0.18728101768788444,3370,5.305044510385756,2018-01-09,2018-09-30
265,0.1862608007415532,3333,5.319231923192319,2018-01-09,2018-10-01
266,0.18463301220637424,3279,5.272949069838365,2018-01-09,2018-10-02
267,0.1831255787429419,3232,5.211324257425742,2018-01-09,2018-10-03
268,0.19126300140850253,3123,5.196926032660903,2018-01-09,2018-10-04
269,0.19037510683289816,3054,5.1611001964636545,2018-01-09,2018-10-05
270,0.19554260218637096,2984,5.08411528150134,2018-01-09,2018-10-06
271,0.1970869719485472,2975,4.9573109243697475,2018-01-09,2018-10-07
272,0.19744759379058177,2949,4.953882672092234,2018-01-09,2018-10-08
273,0.1938970337212874,2985,4.987939698492462,2018-01-09,2018-10-09
274,0.1903678345310245,2999,5.017005668556186,2018-01-09,2018-10-10
275,0.19678355668374323,2990,5.052508361204014,2018-01-09,2018-10-11
276,0.2007608975462294,2969,5.121589760862244,2018-01-09,2018-10-12
277,0.20051685868635194,2972,5.14535666218035,2018-01-09,2018-10-13
278,0.20553827829170038,3030,5.087788778877888,2018-01-09,2018-10-14
279,0.20739397113297195,3058,5.1144538914323086,2018-01-09,2018-10-15
280,0.20924609650031784,3063,5.1380999020568074,2018-01-09,2018-10-16
281,0.20930315610058786,3077,5.10627234319142,2018-01-09,2018-10-17
282,0.21174049769934497,3063,5.149200130590924,2018-01-09,2018-10-18
283,0.21137270434788513,3068,5.15645371577575,2018-01-09,2018-10-19
284,0.20922360156575537,3073,5.191669378457533,2018-01-09,2018-10-20
285,0.21029383358863266,3084,5.199092088197147,2018-01-09,2018-10-21
286,0.21142278172353976,3110,5.212540192926045,2018-01-09,2018-10-22
287,0.21040438756309027,3121,5.232617750720923,2018-01-09,2018-10-23
288,0.2089443980687337,3128,5.219948849104859,2018-01-09,2018-10-24
289,0.20817392000036647,3106,5.203477141017386,2018-01-09,2018-10-25
290,0.20065678418503347,3100,5.218064516129032,2018-01-09,2018-10-26
291,0.20657677375268094,3080,5.222402597402597,2018-01-09,2018-10-27
292,0.2078055671227055,3060,5.264705882352941,2018-01-09,2018-10-28
293,0.21086249532396253,3053,5.315099901735997,2018-01-09,2018-10-29
294,0.21492238096516048,3038,5.328505595786702,2018-01-09,2018-10-30
295,0.2113927717424558,3037,5.341784655910438,2018-01-09,2018-10-31
296,0.20988210654943992,3029,5.357213601848795,2018-01-09,2018-11-01
297,0.20704414271067226,3035,5.380889621087315,2018-01-09,2018-11-02
298,0.20558754170101057,3051,5.37037037037037,2018-01-09,2018-11-03
299,0.20508087231462538,3127,5.326511032938919,2018-01-09,2018-11-04
300,0.20433244380486149,3146,5.364907819453274,2018-01-09,2018-11-05
301,0.20135042756665344,3196,5.349499374217772,2018-01-09,2018-11-06
