Firstdate,Lastdate,Nusers,Mean_dr,Sum_dr
2019-11-02,2019-12-01,12, 31.549174709124078, 378.59009650948894
2019-11-03,2019-12-02,13, 28.811653439656972, 374.5514947155406
2019-11-04,2019-12-03,12, 29.72423556126709, 356.69082673520506
2019-11-05,2019-12-04,13, 27.836405161205732, 361.8732670956745
2019-11-06,2019-12-05,12, 28.162767806562954, 337.95321367875545
2019-11-07,2019-12-06,13, 26.69469359358565, 347.03101671661346
2019-11-08,2019-12-07,13, 31.34269424616397, 407.4550252001316
2019-11-09,2019-12-08,15, 29.366927602315453, 440.5039140347318
2019-11-10,2019-12-09,15, 29.38272853313286, 440.74092799699287
2019-11-11,2019-12-10,15, 29.746398022053366, 446.1959703308005
2019-11-12,2019-12-11,16, 27.292176049017453, 436.67481678427924
2019-11-13,2019-12-12,16, 28.456832475262125, 455.309319604194
2019-11-14,2019-12-13,15, 27.882871219801377, 418.24306829702067
2019-11-15,2019-12-14,15, 26.846132650193056, 402.69198975289584
2019-11-16,2019-12-15,15, 26.866634731043728, 402.9995209656559
2019-11-17,2019-12-16,16, 26.013728200907668, 416.2196512145227
2019-11-18,2019-12-17,17, 25.42003993220056, 432.1406788474095
2019-11-19,2019-12-18,17, 24.557648684937995, 417.4800276439459
2019-11-20,2019-12-19,17, 23.76008890178361, 403.9215113303214
2019-11-21,2019-12-20,18, 23.493124945372987, 422.87624901671376
2019-11-22,2019-12-21,20, 25.420447292711117, 508.40894585422234
2019-11-23,2019-12-22,20, 25.43074895457008, 508.6149790914016
2019-11-24,2019-12-23,20, 26.406919259383596, 528.1383851876719
2019-11-25,2019-12-24,21, 26.384218086676373, 554.0685798202038
2019-11-26,2019-12-25,23, 24.47680247818226, 562.966456998192
2019-11-27,2019-12-26,22, 25.829050566107618, 568.2391124543676
2019-11-28,2019-12-27,20, 26.651967422417293, 533.0393484483459
2019-11-29,2019-12-28,20, 27.23307862767995, 544.6615725535991
2019-11-30,2019-12-29,22, 28.202654690443524, 620.4584031897575
2019-12-01,2019-12-30,22, 28.5054419576617, 627.1197230685574
2019-12-02,2019-12-31,21, 29.935499893718077, 628.6454977680796
2019-12-03,2020-01-01,21, 30.24240555446548, 635.0905166437751
2019-12-04,2020-01-02,21, 29.45357125121805, 618.524996275579
2019-12-05,2020-01-03,21, 29.143391552287582, 612.0112225980392
2019-12-06,2020-01-04,22, 28.929946339928712, 636.4588194784317
2019-12-07,2020-01-05,23, 29.32677726589544, 674.5158771155951
2019-12-08,2020-01-06,21, 30.82486178289362, 647.322097440766
2019-12-09,2020-01-07,20, 33.88895596164618, 677.7791192329237
2019-12-10,2020-01-08,18, 35.765680710338316, 643.7822527860897
2019-12-11,2020-01-09,18, 35.09537646492137, 631.7167763685848
2019-12-12,2020-01-10,18, 35.301448246405336, 635.4260684352961
2019-12-13,2020-01-11,18, 34.36601869974832, 618.5883365954697
2019-12-14,2020-01-12,20, 32.56041745821188, 651.2083491642376
2019-12-15,2020-01-13,19, 31.94926259064497, 607.0359892222544
2019-12-16,2020-01-14,19, 32.34692851414834, 614.5916417688184
2019-12-17,2020-01-15,16, 34.3177605790396, 549.0841692646336
2019-12-18,2020-01-16,16, 35.66659185294378, 570.6654696471005
2019-12-19,2020-01-17,16, 34.843205238288036, 557.4912838126086
2019-12-20,2020-01-18,16, 34.01171882340699, 544.1875011745118
2019-12-21,2020-01-19,16, 35.445823093310835, 567.1331694929734
2019-12-22,2020-01-20,17, 34.366348228963226, 584.2279198923749
2019-12-23,2020-01-21,17, 32.778530511200536, 557.2350186904091
2019-12-24,2020-01-22,17, 33.26257239794942, 565.4637307651401
2019-12-25,2020-01-23,16, 33.32242647052307, 533.1588235283691
2019-12-26,2020-01-24,15, 34.6590133041922, 519.885199562883
2019-12-27,2020-01-25,15, 34.71748243895104, 520.7622365842656
2019-12-28,2020-01-26,15, 35.834304462558585, 537.5145669383787
2019-12-29,2020-01-27,15, 34.920628560701324, 523.8094284105199
2019-12-30,2020-01-28,15, 34.972858800984525, 524.5928820147678
