Firstdate,Lastdate,Nusers,Nusers_core,Ncore_frac,Nusers_per,Nlinks,Nlinks_core,Nlinks_per,Nlinks_core_per,L/N core,L/N per,L/N core-per
2018-11-27,2018-12-26,827,49,5.92503022974607,778,3194,1010,347,1837,20.612244897959183,0.44601542416452444,2.5233516483516483
2018-11-28,2018-12-27,857,47,5.484247374562427,810,3316,1040,407,1869,22.127659574468087,0.5024691358024691,2.5290933694181326
2018-11-29,2018-12-28,843,43,5.100830367734282,800,3305,963,458,1884,22.3953488372093,0.5725,2.631284916201117
2018-11-30,2018-12-29,848,41,4.834905660377358,807,3352,951,489,1912,23.195121951219512,0.6059479553903345,2.659248956884562
2018-12-01,2018-12-30,870,47,5.402298850574713,823,3433,1085,429,1919,23.085106382978722,0.5212636695018226,2.562082777036048
2018-12-02,2018-12-31,897,48,5.351170568561873,849,3506,1122,427,1957,23.375,0.502944640753828,2.5481770833333335
2018-12-03,2019-01-01,906,41,4.525386313465783,865,3589,1036,544,2009,25.26829268292683,0.6289017341040463,2.6894243641231594
2018-12-04,2019-01-02,897,46,5.128205128205129,851,3524,1113,415,1996,24.195652173913043,0.48766157461809634,2.5922077922077924
2018-12-05,2019-01-03,919,47,5.114254624591948,872,3597,1131,397,2069,24.06382978723404,0.4552752293577982,2.5830212234706615
2018-12-06,2019-01-04,945,38,4.021164021164021,907,3652,1004,547,2101,26.42105263157895,0.6030871003307607,2.6901408450704225
2018-12-07,2019-01-05,950,39,4.105263157894737,911,3718,1068,556,2094,27.384615384615383,0.610318331503842,2.653992395437262
2018-12-08,2019-01-06,953,39,4.092339979013641,914,3743,1079,556,2108,27.666666666666668,0.6083150984682714,2.6649810366624527
2018-12-09,2019-01-07,972,39,4.012345679012346,933,3809,1085,604,2120,27.82051282051282,0.647374062165059,2.676767676767677
2018-12-10,2019-01-08,981,46,4.689092762487258,935,3892,1205,537,2150,26.195652173913043,0.574331550802139,2.577937649880096
2018-12-11,2019-01-09,999,45,4.504504504504505,954,4013,1237,572,2204,27.488888888888887,0.59958071278826,2.6300715990453463
2018-12-12,2019-01-10,1020,47,4.607843137254902,973,4128,1309,576,2243,27.851063829787233,0.591983556012333,2.611175785797439
2018-12-13,2019-01-11,1017,49,4.818092428711898,968,4184,1376,579,2229,28.081632653061224,0.5981404958677686,2.619271445358402
